Application Number,Location,Usage Type,Grid Hours,Monthly Fuel Cost,Daily Energy,Maintenance Cost,Appliances & Equipment,Full Name,Email,Phone,Created At,Updated At
SOL-2025-80817,5.5,home,7,65000,7.35,50000,"[{""type"": ""Ceiling Fan"", ""units"": 3, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 75, ""daily_usage_kwh"": 1.35}, {""type"": ""Chest Freezer"", ""units"": 5, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 200, ""daily_usage_kwh"": 6}]",eafefv dafgsdf,oscartest@gmail.com,08006565655,2025-03-19 19:43:51,2025-03-19 19:44:10
SOL-2025-12099,6.5,home,12,65000,4.20,50000,"[{""type"": ""Desktop Computer"", ""units"": 3, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 150, ""daily_usage_kwh"": 2.7}, {""type"": ""CCTV System"", ""units"": 1, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 100, ""daily_usage_kwh"": 0.6}, {""type"": ""Small Refrigerator"", ""units"": 1, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 150, ""daily_usage_kwh"": 0.9}]",glktyiuk,oscartest@gmail.com,08006565655,2025-03-19 19:47:15,2025-03-19 19:48:03
SOL-2025-29044,5.5,home,8,65000,1.08,50000,"[{""type"": ""Standing Fan"", ""units"": 3, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 60, ""daily_usage_kwh"": 1.08}]",,,,2025-03-19 19:48:30,2025-03-19 19:48:30
SOL-2025-13144,Lagos,home,8,65000,2.91,50000,"[{""type"": ""Ceiling Fan"", ""units"": 3, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 75, ""daily_usage_kwh"": 1.35}, {""type"": ""Laptop"", ""units"": 4, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 65, ""daily_usage_kwh"": 1.56}]",Oscar Li,oscartest@gmail.com,08006565655,2025-03-19 19:51:59,2025-03-19 19:52:26
SOL-2025-25346,Lagos,home,5,30000,2.70,4000,"[{""type"": ""Desktop Computer"", ""units"": 1, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 150, ""daily_usage_kwh"": 0.9}, {""type"": ""Ceiling Fan"", ""units"": 4, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 75, ""daily_usage_kwh"": 1.8}]",dafwaegawge,oscartester@gmail.com,08006565655,2025-03-19 19:56:08,2025-03-19 19:56:38
SOL-2025-21167,Ibadan,dual,5,50000,4.35,4000,"[{""type"": ""Ceiling Fan"", ""units"": 3, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 75, ""daily_usage_kwh"": 1.35}, {""type"": ""Chest Freezer"", ""units"": 1, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 200, ""daily_usage_kwh"": 1.2}, {""type"": ""Desktop Computer"", ""units"": 2, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 150, ""daily_usage_kwh"": 1.8}]",eafefv dafgsdf,oscartest@gmail.com,08006565655,2025-03-19 20:11:07,2025-03-19 20:11:28
SOL-2025-27054,Lagos,home,4,456789,1.35,1234,"[{""type"": ""Ceiling Fan"", ""units"": 3, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 75, ""daily_usage_kwh"": 1.35}]",,,,2025-03-19 20:15:00,2025-03-19 20:15:00
SOL-2025-32450,Kano,business,6,60000,8.70,5000,"[{""type"": ""Small Refrigerator"", ""units"": 3, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 150, ""daily_usage_kwh"": 2.7}, {""type"": ""Air Conditioner (1HP)"", ""units"": 1, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 1000, ""daily_usage_kwh"": 6}]",Oscar Liss,oscartest@gmail.com,08006565655,2025-03-19 20:31:04,2025-03-19 20:31:19
SOL-2025-24467,Lagos,business,6,70000,2.34,4000,"[{""type"": ""Standing Fan"", ""units"": 4, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 60, ""daily_usage_kwh"": 1.44}, {""type"": ""Small Refrigerator"", ""units"": 1, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 150, ""daily_usage_kwh"": 0.9}]",Oscar Liss,oscartest@gmail.com,08006565655,2025-03-19 20:34:34,2025-03-19 20:34:44
SOL-2025-13013,Lagos,business,6,50000,1.80,4000,"[{""type"": ""Standing Fan"", ""units"": 5, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 60, ""daily_usage_kwh"": 1.8}]",eafefv dafgsdf,oscartest@gmail.com,08006565655,2025-03-19 20:39:03,2025-03-19 20:39:13
SOL-2025-13777,Lagos,business,12,80000,3.00,2000,"[{""type"": ""Large Refrigerator"", ""units"": 2, ""hours_per_day"": 6, ""backup_included"": true, ""power_watts"": 250, ""daily_usage_kwh"": 3}]",qwfqefqef ewfeqwf,oscartest@gmail.com,08006565655,2025-03-19 20:41:41,2025-03-19 20:41:51
